    2.200000   -1.547613    0.789151    1.345772  115.943553
    2.220000   -1.520859    0.767111    1.421235  109.553634
    2.240000   -1.491375    0.739630    1.509555  102.325403
    2.260000   -1.459931    0.708790    1.583962   94.553316
    2.280000   -1.428270    0.675916    1.637465   86.752478
    2.300000   -1.394337    0.639109    1.661636   78.388846
    2.320000   -1.362465    0.603949    1.656826   70.969764
    2.340000   -1.328028    0.562652    1.622990   62.817681
    2.360000   -1.296246    0.524340    1.567690   55.607654
 Total time =   939.97052311897278       in seconds used  on number of processes =            4
