    2.200000   -1.546517    0.784908    1.420656    4.861150
    2.220000   -1.516600    0.753388    1.588225    9.582921
    2.240000   -1.482832    0.709300    1.812686   17.685348
    2.260000   -1.442251    0.627945    2.222619 1423.440376
    2.280000   -1.392091    0.467782    2.514233 1100.001027
    2.300000   -1.347000    0.322431    2.049197  592.136920
    2.320000   -1.310533    0.225396    1.664838  314.800319
    2.340000   -1.279477    0.169340    1.436820  184.674963
    2.360000   -1.252269    0.135990    1.302238  120.679922
 Total time =   23412.901548862457       in seconds used  on number of processes =            4
